X,Y,Z,azimuth,dip,polarity,formation
371605.3,411190.2,-32.01123809814453,145,10,1,B1
371605.3,411190.2,-221.01123809814453,145,10,1,M1
371605.3,411190.2,-320.01123809814453,145,10,1,B2
371605.3,411190.2,-700.0112380981445,145,10,1,M2
371605.3,411190.2,-900.0112380981445,145,10,1,B3
371605.3,411190.2,-1040.0112380981445,145,10,1,M3
372048.1,410944.1,-29.281875610351562,145,10,1,M1
372048.1,410944.1,-219.28187561035156,145,10,1,B2
372048.1,410944.1,-707.2818756103516,145,10,1,M2
372048.1,410944.1,-845.2818756103516,145,10,1,B3
372048.1,410944.1,-1040.2818756103516,145,10,1,M3
372470.3,410867.4,-87.05606842041016,145,10,1,M1
372470.3,410867.4,-275.05606842041016,145,10,1,B2
372470.3,410867.4,-701.0560684204102,145,10,1,M2
372470.3,410867.4,-919.0560684204102,145,10,1,B3
372470.3,410867.4,-1198.0560684204102,145,10,1,M3
372729.4,410731.7,10.093551635742188,145,10,1,B1
372729.4,410731.7,-132.9064483642578,145,10,1,M1
372729.4,410731.7,-340.9064483642578,145,10,1,B2
372729.4,410731.7,-696.9064483642578,145,10,1,M2
372729.4,410731.7,-923.9064483642578,145,10,1,B3
372729.4,410731.7,-1158.9064483642578,145,10,1,M3
372980.7,410535.0,-56.5796012878418,145,10,1,B1
372980.7,410535.0,-294.5796012878418,145,10,1,M1
372980.7,410535.0,-499.5796012878418,145,10,1,B2
372980.7,410535.0,-866.5796012878418,145,10,1,M2
372980.7,410535.0,-944.5796012878418,145,10,1,B3
372980.7,410535.0,-1332.5796012878418,145,10,1,M3
373502.3,410247.9,-195.34237670898438,145,10,1,B1
373502.3,410247.9,-388.3423767089844,145,10,1,M1
373502.3,410247.9,-906.3423767089844,145,10,1,B2
373710.9,410315.2,-263.6889114379883,145,10,1,B1
373710.9,410315.2,-553.6889114379883,145,10,1,M1
373710.9,410315.2,-937.6889114379883,145,10,1,B2
373710.9,410315.2,-1195.6889114379883,145,10,1,M2
373710.9,410315.2,-1427.6889114379883,145,10,1,B3
373710.9,410315.2,-1697.6889114379883,145,10,1,M3
373740.2,410104.1,-184.97415161132812,145,10,1,B1
373740.2,410104.1,-349.9741516113281,145,10,1,M1
373740.2,410104.1,-840.9741516113281,145,10,1,B2
373740.2,410104.1,-1204.9741516113281,145,10,1,M2
373740.2,410104.1,-1294.9741516113281,145,10,1,B3
373740.2,410104.1,-1666.9741516113281,145,10,1,M3
373699.2,409935.1,-194.36450958251953,145,10,1,B1
373699.2,409935.1,-338.36450958251953,145,10,1,M1
373699.2,409935.1,-709.3645095825195,145,10,1,B2
373699.2,409935.1,-1031.3645095825195,145,10,1,M2
373699.2,409935.1,-1107.3645095825195,145,10,1,B3
373699.2,409935.1,-1667.3645095825195,145,10,1,M3
373723.1,409735.5,-254.96753692626953,145,10,1,B1
373723.1,409735.5,-486.96753692626953,145,10,1,M1
373723.1,409735.5,-745.9675369262695,145,10,1,B2
373723.1,409735.5,-1054.9675369262695,145,10,1,M2
373723.1,409735.5,-1228.9675369262695,145,10,1,B3
373723.1,409735.5,-1710.9675369262695,145,10,1,M3
373706.3,409172.7,-404.9992370605469,145,10,1,B1
373706.3,409172.7,-598.9992370605469,145,10,1,M1
373706.3,409172.7,-888.9992370605469,145,10,1,B2
373706.3,409172.7,-1258.9992370605469,145,10,1,M2
373706.3,409172.7,-1371.9992370605469,145,10,1,B3
373898.9,409132.4,-340.6876754760742,145,10,1,B1
373898.9,409132.4,-584.6876754760742,145,10,1,M1
373898.9,409132.4,-954.6876754760742,145,10,1,B2
373898.9,409132.4,-1289.6876754760742,145,10,1,M2
373898.9,409132.4,-1421.6876754760742,145,10,1,B3
370202.8,409173.7,-219.98272323608398,145,10,1,M1
370202.8,409173.7,-287.982723236084,145,10,1,B2
370202.8,409173.7,-797.982723236084,145,10,1,M2
370202.8,409173.7,-859.982723236084,145,10,1,B3
370202.8,409173.7,-965.982723236084,145,10,1,M3
370455.1,408920.9,-198.01728439331055,145,10,1,M1
370455.1,408920.9,-335.01728439331055,145,10,1,B2
370455.1,408920.9,-562.0172843933105,145,10,1,M2
370455.1,408920.9,-825.0172843933105,145,10,1,B3
370455.1,408920.9,-974.0172843933105,145,10,1,M3
370758.0,408722.9,-14.642215728759766,145,10,1,B1
370758.0,408722.9,-207.64221572875977,145,10,1,M1
370758.0,408722.9,-427.64221572875977,145,10,1,B2
370758.0,408722.9,-698.6422157287598,145,10,1,M2
370758.0,408722.9,-864.6422157287598,145,10,1,B3
370758.0,408722.9,-1137.6422157287598,145,10,1,M3
370502.0,408796.2,-137.0330810546875,145,10,1,M1
370502.0,408796.2,-406.0330810546875,145,10,1,B2
370502.0,408796.2,-662.0330810546875,145,10,1,M2
370502.0,408796.2,-775.0330810546875,145,10,1,B3
370502.0,408796.2,-1061.0330810546875,145,10,1,M3
370523.3,408319.9,-213.59864044189453,145,10,1,M1
370523.3,408319.9,-254.59864044189453,145,10,1,B2
370523.3,408319.9,-521.5986404418945,145,10,1,M2
370523.3,408319.9,-894.5986404418945,145,10,1,B3
370523.3,408319.9,-967.5986404418945,145,10,1,M3
370374.3,408714.5,9.601543426513672,145,10,1,B1
370374.3,408714.5,-155.39845657348633,145,10,1,M1
370374.3,408714.5,-353.3984565734863,145,10,1,B2
370374.3,408714.5,-715.3984565734863,145,10,1,M2
370374.3,408714.5,-879.3984565734863,145,10,1,B3
370374.3,408714.5,-1072.3984565734863,145,10,1,M3
370213.9,408870.8,-87.84695053100586,145,10,1,B1
370213.9,408870.8,-215.84695053100586,145,10,1,M1
370213.9,408870.8,-410.84695053100586,145,10,1,B2
370213.9,408870.8,-553.8469505310059,145,10,1,M2
370213.9,408870.8,-810.8469505310059,145,10,1,B3
370213.9,408870.8,-875.8469505310059,145,10,1,M3
370779.5,408388.4,-193.24718475341797,145,10,1,B1
370779.5,408388.4,-301.24718475341797,145,10,1,M1
370779.5,408388.4,-546.247184753418,145,10,1,B2
370779.5,408388.4,-781.247184753418,145,10,1,M2
371013.9,408855.0,-15.701858520507812,145,10,1,B1
371013.9,408855.0,-241.7018585205078,145,10,1,M1
